,基金代码,基金名称,开始日期,类型
0,000001,华夏成长,2001-12-18,混合式基金
1,000003,中海可转债债券,2013-03-20,债券基金
2,000005,嘉实增强信用,2013-03-08,债券基金
3,000007,鹏华国企债,2013-03-08,债券基金
4,000008,嘉实中证500ETF联接基金,2013-03-22,联接基金
5,000009,易方达天天理财货币,2013-03-04,货币基金
6,000011,华夏大盘,2004-08-11,混合式基金
7,000014,华夏聚利债券,2013-03-19,债券基金
8,000015,华夏纯债债券,2013-03-08,债券基金
9,000017,财通可持续混合,2013-03-27,混合式基金
10,000020,景顺品质,2013-03-19,混合式基金
11,000021,华夏优势增长混合,2006-11-24,混合式基金
12,000022,南方中债中期票据指数债权发起式,2013-05-03,债券基金
13,000024,大摩双利增强债券,2013-03-26,债券基金
14,000026,泰达信用合利债券,2013-03-19,债券基金
15,000028,华富保本,2013-04-24,混合式基金
16,000029,富国宏观策略,2013-04-12,混合式基金
17,000030,长城久利,2013-04-18,混合式基金
18,000031,华夏复兴混合,2007-09-10,混合式基金
19,000032,易方达信用债债券,2013-04-24,债券基金
20,000037,广发理财7天债券,2013-06-20,货币基金
21,000039,农银高增长,2013-03-26,混合式基金
22,000041,华夏全球,2007-10-09,股票基金
23,000042,中证财通可持续发展100指数,2013-03-22,股票基金
24,000043,嘉实美国成长股票,2013-06-14,股票基金
25,000045,工银产业债券,2013-03-28,债券基金
26,000047,华夏双债债券,2013-03-14,债券基金
27,000049,中银标普全球,2013-03-19,股票基金
28,000050,长盛纯债债券基金,2013-03-13,债券基金
29,000051,华夏沪深300ETF联接,2009-07-10,联接基金
30,000053,鹏华永诚一年定期开放债券,2013-05-03,债券基金
31,000054,鹏华双债增利,2013-03-13,债券基金
32,270042,广发纳斯达克100指数（QDII）,2012-08-15,股票基金
33,000056,建信消费,2013-06-14,混合式基金
34,000057,中银消费,2013-04-25,混合式基金
35,000058,国联安保本,2013-04-23,混合式基金
36,000059,国联安医药100,2013-08-21,股票基金
37,000060,国联安股债,2013-06-26,混合式基金
38,000061,华夏盛世混合,2009-12-11,混合式基金
39,000062,银华量化,2013-05-22,混合式基金
40,000063,长盛电子信息,2013-05-10,混合式基金
41,000064,大摩18个月,2013-06-25,债券基金
42,000065,国海焦点驱动,2013-05-07,混合式基金
43,000066,诺安鸿鑫保本,2013-05-03,混合式基金
44,000067,民生加银转债优选,2013-04-18,债券基金
45,000069,国投瑞银中高等级债券,2013-05-14,债券基金
46,000071,华夏恒生ETF联接,2012-08-21,联接基金
47,000072,华安保本,2013-05-14,混合式基金
48,000073,上投成长,2013-05-15,混合式基金
49,000074,工银信用纯债一年定开债券,2013-05-22,债券基金
50,000078,工银信用纯债两年定开债券,2013-06-21,债券基金
51,000080,天治可转债,2013-06-04,债券基金
52,000082,嘉实研究阿尔法,2013-05-28,股票基金
53,000083,汇添富消费行业混合,2013-05-03,混合式基金
54,000084,博时安盈债券,2013-04-23,债券基金
55,000086,南方稳利,2013-07-23,债券基金
56,000087,嘉实中证金边中期国债ETF联接,2013-05-10,联接基金
57,000089,民生加银家盈理财月度,2013-04-25,货币基金
58,000103,国泰高收益债,2013-04-26,债券基金
59,000104,华宸稳健债券,2013-08-19,债券基金
60,000105,建信安心回报债券,2013-05-14,债券基金
61,000107,富国信用增强债券,2013-05-21,债券基金
62,000110,金鹰元安混合,2013-05-20,混合式基金
63,000111,易方达纯债1年定期开放债券,2013-07-30,债券基金
64,000113,嘉实如意宝定期债券,2013-06-04,债券基金
65,000116,嘉实丰益纯债,2013-05-21,债券基金
66,000117,广发轮动,2013-05-28,混合式基金
67,000118,广发聚鑫债券,2013-06-05,债券基金
68,000120,中银美丽中国,2013-06-07,混合式基金
69,000121,华夏永福养老理财混合,2013-08-13,混合式基金
70,000122,汇添富实业债券,2013-06-14,债券基金
71,000124,华宝服务优选混合,2013-06-27,混合式基金
72,000125,上投摩根天颐年丰混合,2013-07-18,混合式基金
73,000126,招商安润,2013-04-19,混合式基金
74,000127,农银行业领先,2013-06-25,混合式基金
75,000128,大成景安安融债券,2013-05-24,债券基金
76,000130,大成景兴信用债债券,2013-06-04,债券基金
77,000132,中银理财21天债券,2013-12-19,货币基金
78,000134,信诚28日盈,2017-05-25,货币基金
79,000136,民生策略,2013-06-07,混合式基金
80,000137,民生加银岁岁增利债券,2013-08-01,债券基金
81,000139,富国国有企业债债券,2013-09-25,债券基金
82,000142,融通通泰保本,2013-05-30,混合式基金
83,000143,鹏华双债加利,2013-05-27,债券基金
84,000145,长盛季季红1年定期债券,2013-06-14,债券基金
85,000147,易方达高等级信用债债券,2013-08-23,债券基金
86,000149,华安双债添利债券,2013-06-14,债券基金
87,000151,诺安信债,2013-06-18,债券基金
88,000152,大成景旭纯债债券,2013-07-23,债券基金
89,000165,国投策略精选,2013-09-27,混合式基金
90,000166,中海策略精选,2013-07-31,混合式基金
