close,daily_return
3595.18,-0.010227594959709083
3586.08,-0.0025311667287868504
3579.54,-0.0018237183777272017
3593.52,0.0039055297608072597
3567.44,-0.007257507958770211
3597.43,0.008406588478012183
3555.26,-0.011722257278112325
3521.26,-0.009563294948892626
3541.67,0.005796220671009767
3569.91,0.007973639554221534
3558.18,-0.0032857971209358273
3555.06,-0.0008768527730468642
3522.57,-0.009139086260147446
3524.11,0.0004371808083302712
3433.06,-0.025836310444339188
3455.67,0.006585961212446077
3394.25,-0.017773687881076628
3361.44,-0.00966634749944758
3429.58,0.0202710743014898
3452.63,0.006720939590270582
3479.95,0.007912808496711119
3485.91,0.0017126682854638822
3462.95,-0.006586515429256647
3428.88,-0.00983843255028219
3446.09,0.00501913161148831
3465.83,0.005728231125710525
3468.04,0.0006376538953151298
3490.76,0.006551250850624634
3490.61,-4.297058520210239e-05
3457.15,-0.009585717109616953
3489.15,0.009256179222770201
3429.96,-0.016964017024203616
3451.41,0.006253717244515918
3462.31,0.0031581295760283743
3488.83,0.007659626087785317
3484.19,-0.0013299587540808444
3481.11,-0.0008839931232223063
3447.65,-0.00961187667152145
3372.86,-0.021693037286267446
3293.53,-0.023520098669971456
3256.39,-0.01127665453176389
3296.09,0.012191414419034659
3309.75,0.004144304312078813
3223.53,-0.026050305914343923
3063.97,-0.04949853111340685
3170.71,0.03483715571627667
3215.04,0.013981095716732192
3251.07,0.011206703493580236
3253.69,0.0008058885228555186
3259.86,0.001896308498965812
3271.03,0.003426527519586753
3250.26,-0.006349681904476566
3212.24,-0.01169752573640276
3214.5,0.0007035588872563129
3203.94,-0.0032851143257116022
3266.6,0.019557170234149157
3252.2,-0.004408253229657776
3282.72,0.009384416702539814
3283.43,0.0002162840571233722
3236.7,-0.014232068294436007
3251.85,0.0046806932987302164
3167.13,-0.02605286221689186
3213.33,0.014587339326140644
3186.82,-0.00825000855810009
3225.64,0.012181422232821341
3211.24,-0.00446423035428631
3195.52,-0.004895305240343232
3194.03,-0.00046627778890439794
3151.05,-0.013456354511385308
3079.81,-0.022608336903571898
3086.92,0.002308583971089167
2928.51,-0.051316522618014025
2886.43,-0.014369081888059245
2958.28,0.02489234105798525
2975.48,0.005814189326230045
3047.06,0.024056622796994075
3067.76,0.00679343367048902
3001.56,-0.021579263045349135
3004.14,0.0008595530324231157
3035.84,0.010552104762095067
3058.7,0.007530041108885736
3054.99,-0.0012129335992415197
3084.28,0.009587592758077905
3073.75,-0.0034140869181786995
3093.7,0.006490443269621738
3085.98,-0.0024953938649512884
3096.96,0.0035580269476795114
3146.57,0.01601893469725154
3146.86,9.216384825380131e-05
3070.93,-0.024128814119471563
3107.46,0.011895419302947382
3123.11,0.005036267562575252
3130.24,0.002282980746755527
3149.06,0.006012318544265029
3186.43,0.011867033336932257
3182.16,-0.0013400576821081844
3195.46,0.004179550996807257
3236.37,0.012802538601641033
3241.76,0.0016654461634486562
3263.79,0.006795691229455525
3238.95,-0.007610783782044845
3284.83,0.014165084363759895
3255.55,-0.008913703296669765
3288.91,0.010247116462655978
3305.41,0.0050168596890763206
3285.38,-0.00605976263156454
3316.79,0.009560537898203512
3315.43,-0.000410035003723518
3306.72,-0.002627110208932186
3267.2,-0.01195142013838486
3320.15,0.01620653770812937
3349.75,0.00891525985271747
3379.19,0.008788715575789254
3409.21,0.008883785759309178
3361.52,-0.013988577999008584
3398.62,0.011036673885623143
3387.64,-0.003230723058182444
3405.43,0.005251443482778561
3404.03,-0.00041110814199664543
3355.35,-0.014300696527351489
3364.4,0.002697185092464328
3356.08,-0.0024729520865533717
3313.58,-0.012663583704798455
3281.47,-0.009690425461283606
3284.29,0.0008593709526523674
3281.74,-0.0007764235192386123
3228.06,-0.016357176375946858
3278.1,0.015501570602776888
3279.43,0.00040572282724746873
3304.72,0.007711705997688612
3272.0,-0.00990099009900984
3269.97,-0.0006204156479218216
3250.39,-0.005987822518249381
3277.44,0.008322078273684138
3275.76,-0.0005125951962506823
3282.58,0.0020819596063202765
3253.24,-0.008938091379341904
3259.96,0.0020656330304558703
